YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 08 16  67  8.4 10.1  1.85  7.69  5.37  91 1010.2  23.8  23.7 999.0 99.0
1999 01 08 17  68  8.0  9.4  1.73  7.14  5.02  89 1010.9  23.8  23.7 999.0 99.0
1999 01 08 18  68  8.3 10.0  1.80  7.69  5.27  88 1011.3  23.9  23.7 999.0 99.0
1999 01 08 19  74  7.6  9.1  1.88  7.14  5.50  82 1011.7  24.4  23.7 999.0 99.0
1999 01 08 20  72  8.1  9.5  1.88  7.69  5.24  76 1011.7  24.3  23.7 999.0 99.0
1999 01 08 21  78  6.4  7.4 99.00 99.00 99.00 999 1011.2  24.3  23.7 999.0 99.0
1999 01 08 22  74  6.2  7.5  1.68  7.14  5.29  96 1010.9  24.3  23.7 999.0 99.0
1999 01 08 23  72  6.8  7.7  1.56  7.14  5.52  82 1010.1  24.3  23.8 999.0 99.0
1999 01 09 00  65  7.0  8.8  1.66  7.69  5.34  89 1009.5  24.3  23.8 999.0 99.0
1999 01 09 01  73  7.7  9.0  1.70  7.69  5.34  84 1008.6  24.2  23.8 999.0 99.0
1999 01 09 02  72  7.4  8.8  1.67  7.69  5.50  92 1008.1  24.2  23.8 999.0 99.0
1999 01 09 03  74  7.7  9.0  1.72  7.69  5.55 104 1008.3  24.2  23.8 999.0 99.0
1999 01 09 04  71  7.5  8.8  1.65  7.69  5.37  97 1008.7  24.2  23.8 999.0 99.0
1999 01 09 05  69  7.9  9.4  1.54  8.33  5.14  99 1009.4  24.2  23.7 999.0 99.0
1999 01 09 06  74  7.9  9.2  1.61  7.69  5.31  97 1009.7  24.0  23.7 999.0 99.0
1999 01 09 07  69  7.8  8.9  1.53  7.14  5.14  96 1010.4  23.8  23.7 999.0 99.0
1999 01 09 08  68  7.9  9.1  1.63  7.14  5.19  98 1011.0  23.8  23.6 999.0 99.0
1999 01 09 09  69  7.3  9.0  1.61  7.14  5.21  97 1011.1  23.8  23.7 999.0 99.0
1999 01 09 10  66  7.1  8.5  1.68  7.69  5.35  79 1011.1  23.7  23.5 999.0 99.0
1999 01 09 11  67  7.2  8.2  1.59  8.33  5.22  95 1010.5  23.7  23.5 999.0 99.0
1999 01 09 12  67  7.0  8.3  1.61  8.33  5.35  95 1009.9  23.6  23.5 999.0 99.0
1999 01 09 13  66  7.5  9.1  1.54  8.33  5.53  88 1009.2  23.5  23.5 999.0 99.0
1999 01 09 14  69  7.0  8.2  1.56  7.69  5.32  85 1009.4  23.5  23.5 999.0 99.0
1999 01 09 15  70  7.2  8.4  1.52  7.69  5.18  96 1009.5  23.7  23.5 999.0 99.0
1999 01 09 16  58  7.8  8.9  1.53  7.14  5.28  83 1010.2  23.7  23.5 999.0 99.0
1999 01 09 17  70  6.3  7.2  1.54 12.50  5.42 219 1011.0  23.7  23.5 999.0 99.0
