#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 06 09 00  79  5.6  6.9  2.16  8.33  5.97  67 1011.2  24.1  24.3 999.0 99.0 99.00
2008 01 06 10 00  91  6.1  7.3  2.26  8.33  6.25  73 1011.1  24.4  24.3 999.0 99.0 99.00
2008 01 06 11 00  95  6.9  8.3  2.12  9.09  5.95  55 1010.4  24.4  24.3 999.0 99.0 99.00
2008 01 06 12 00  83  6.6  8.3  2.03  9.09  5.99  57 1009.5  24.1  24.3 999.0 99.0 99.00
2008 01 06 13 00  88  6.6  7.8  1.99  7.69  5.89  67 1009.1  24.2  24.3 999.0 99.0 99.00
2008 01 06 14 00  94  7.2  8.9  2.11  9.09  5.95  50 1009.0  24.2  24.3 999.0 99.0 99.00
2008 01 06 15 00  90  7.2  8.8  1.98  9.09  5.96  69 1009.5  24.3  24.2 999.0 99.0 99.00
2008 01 06 16 00  94  8.2  9.6  2.13  9.09  6.03  67 1009.9  24.4  24.2 999.0 99.0 99.00
2008 01 06 17 00  96  7.7  9.0  2.09  9.09  5.84  46 1010.8  24.6  24.2 999.0 99.0 99.00
2008 01 06 18 00 108  7.3  8.2  2.26  8.33  6.01  57 1011.6  24.4  24.3 999.0 99.0 99.00
2008 01 06 19 00  89  7.8  9.2  2.13  9.09  5.95  61 1011.9  24.7  24.2 999.0 99.0 99.00
2008 01 06 20 00  95  6.4  7.5  2.13  9.09  5.99  65 1012.0  24.7  24.3 999.0 99.0 99.00
2008 01 06 21 00 102  7.7  9.4  2.22  8.33  5.84  66 1011.3  24.8  24.3 999.0 99.0 99.00
2008 01 06 22 00  91  6.9  8.4  2.20  8.33  5.81  71 1010.7  24.6  24.4 999.0 99.0 99.00
2008 01 06 23 00  87  6.6  7.7  2.00  9.09  5.59  69 1010.1  24.8  24.5 999.0 99.0 99.00
2008 01 07 00 00  97  7.8  9.8  2.15  9.09  5.75  71 1009.0  24.6  24.5 999.0 99.0 99.00
2008 01 07 01 00  94  7.5  8.9  1.97  9.09  5.49  55 1008.2  24.7  24.5 999.0 99.0 99.00
2008 01 07 02 00  89  9.1 10.7  2.31  9.09  5.82  64 1007.9  24.9  24.6 999.0 99.0 99.00
2008 01 07 03 00  87  8.9 10.3  2.21  8.33  5.69  75 1007.8  24.7  24.5 999.0 99.0 99.00
